16.36689,48.1922,0
16.36688,48.19214,0
16.36687,48.19199,0
16.36679,48.19157,0
16.36675,48.19134,0
16.36668,48.19112,0
16.3666,48.19076,0
16.3665,48.19048,0
16.36638,48.19024,0
16.36636,48.19021,0
16.36627,48.19009,0
16.36624,48.19005,0
16.36614,48.18992,0
16.36605,48.1898,0
16.36598,48.18978,0
16.36594,48.18976,0
16.36591,48.18973,0
16.36582,48.18966,0
16.36577,48.18962,0
16.36565,48.18951,0
16.36551,48.18937,0
16.36532,48.18917,0
16.36529,48.18914,0
16.36528,48.18913,0
16.36519,48.18905,0
16.36513,48.18899,0
16.36509,48.18894,0
16.36498,48.18881,0
16.36478,48.18855,0
16.3647,48.18843,0
16.36453,48.18815,0
16.3645,48.18809,0
16.36429,48.1877,0
16.36427,48.18766,0
16.36426,48.18764,0
16.36422,48.18756,0
16.36422,48.18749,0
16.36422,48.18743,0
16.36402,48.18716,0
16.36385,48.18692,0
16.36378,48.18682,0
16.36345,48.18639,0
16.36309,48.18599,0
16.36293,48.18581,0
16.36279,48.18567,0
16.36273,48.1856,0
16.36262,48.18547,0
16.36238,48.1852,0
16.36232,48.18514,0
16.36218,48.18499,0
16.36208,48.1849,0
16.36204,48.18486,0
16.3619,48.18473,0
16.36188,48.18471,0
